Condition	KO	KO	KO	WT	WT	WT
A930041C12Rik	3	10	9	5	16	10
4930428O21Rik	3	10	5	2	2	4
Gfi1	812	894	788	2567	1621	1166
Gm42147	1	3	1	4	3	3
Evi5	1850	825	1308	1664	1006	977
Ube2d2b	0	3	0	0	1	0
Gm42149	6	0	12	2	38	3
Rpl5	124375	97857	90746	131630	143921	83035
Snord21	23	22	17	33	5	21
Gm22270	10	24	10	24	10	33
Gm26387	1	13	0	5	17	5
Dipk1a	3908	2338	2728	2800	2255	1592
Gm42150	0	0	0	0	0	0
Mtf2	4641	3568	3235	5267	3349	2743
Tmed5	8375	6478	6438	9362	9018	5317
Ccdc18	421	332	313	539	331	314
Dr1	9566	5680	6970	12501	6316	5884
Pigg	714	471	589	957	403	398
9330198I05Rik	3	4	1	2	1	7
Tmem217rt	17	14	8	14	17	5
Gm10419	24	10	6	9	7	2
Pde6b	0	0	0	0	1	0
Gm34254	0	0	1	0	0	0
Atp5me	3464	2981	2575	4562	7349	3622
Gm34319	0	0	0	0	0	0
Slc49a3	590	405	683	499	227	338
Pcgf3	1188	949	1095	1519	614	809
Cplx1	0	3	0	2	2	0
Gak	6690	5706	6135	7371	3199	3623
Tmem175	705	756	719	857	424	326
Dgkq	713	630	654	642	215	363
Idua	780	831	856	550	228	306
Slc26a1	228	177	169	475	172	158
Gm42151	37	32	22	33	49	21
Fgfrl1	396	347	323	631	495	245
Rnf212	27	4	22	31	34	28
1700047L14Rik	0	0	0	0	0	0
Tmed11	0	0	0	0	0	0
Vmn2r8	0	0	0	0	0	0
Vmn2r9	0	0	0	0	0	0
Gm20629	0	0	0	0	0	0
Vmn2r10	0	0	0	0	0	0
Vmn2r11	0	0	0	0	0	0
Vmn2r12	0	0	0	0	0	0
Vmn2r13	0	0	0	0	0	0
Vmn2r14	0	0	0	0	0	0
Vmn2r15	0	0	0	0	0	0
Vmn2r16	0	0	0	0	0	0
Vmn2r17	0	0	0	0	0	0
Gm50598	0	0	0	0	0	0
Gm8493	42	62	32	37	7	42
Crlf2	1911	2748	2427	2527	2881	1317
Zfp1007	229	164	169	132	127	62
4930522L14Rik	476	294	327	454	392	272
Gm10416	37	22	21	37	19	18
Gm35089	7	5	0	3	3	0
AB010352	611	362	459	533	288	287
Gm54333	2	9	0	1	0	1
Gm26808	0	10	0	4	7	1
Gm57735	494	348	374	592	389	301
Gm15446	66	26	34	39	33	27
Zfp932	1070	667	698	1183	731	675
Gm54334	0	0	0	2	0	0
Gm35315	180	105	90	208	96	96
Plcxd1	4	7	4	20	10	21
Gtpbp6	797	976	717	898	773	542
Zfp605	361	292	262	381	208	178
Chfr	4595	3543	3672	6201	4280	3160
Gm15787	10	15	15	10	12	7
Golga3	2590	2352	2362	2062	795	1138
LOC118568795	4	7	7	1	6	3
Ankle2	4745	3906	4235	4658	1992	2172
Pgam5	2463	1902	1816	3612	2395	1583
Pxmp2	491	359	336	643	743	409
Pole	2445	1884	2209	2527	861	1344
P2rx2	0	0	3	0	0	0
Lrcol1	0	0	0	0	0	0
Fbrsl1	1319	1659	1630	1045	669	676
A630023P12Rik	1	4	0	84	95	65
Galnt9	755	403	577	377	303	264
Noc4l	1861	2149	1681	3961	2095	1365
Ddx51	1545	1417	1149	2249	1157	962
Ep400	6702	5738	6450	4675	1905	2975
Mir7026	3	4	3	9	1	6
Gm22716	7	46	11	0	1	1
Gm26079	2	0	0	2	0	0
Gm22583	0	0	0	0	0	0
Gm15559	17	23	20	29	17	15
Pus1	2559	2780	2051	3487	2230	1302
Ulk1	1720	1828	1994	1339	618	825
Hscb	1784	1435	1255	1625	1882	986
Chek2	1946	1209	1317	2555	1618	1384
Ttc28	266	444	322	85	44	51
Mir701	0	0	0	0	0	0
Gm35628	0	2	0	0	0	0
Pitpnb	5460	3715	3754	6514	3391	3173
Gm36027	0	7	2	0	1	3
Mn1	9	22	10	4	2	1
Gm42155	0	0	0	0	0	0
Gm42154	0	0	0	0	0	0
Cirpil	0	0	0	0	0	0
Gm36223	5	7	3	8	3	6
Gm36274	0	0	0	0	0	0
C130026L21Rik	0	0	0	0	0	0
Gm36386	0	0	0	0	0	0
Gm36434	0	0	0	0	0	0
Gm36481	0	0	0	0	0	0
E130006D01Rik	0	0	0	0	0	0
Gm36535	0	0	0	0	0	0
Gm29935	0	0	0	0	0	0
Gm36794	0	0	0	0	0	0
Gm36880	0	0	0	0	0	0
Gm42156	0	0	0	0	0	0
Gm30032	0	0	0	0	0	0
1700016B01Rik	0	0	0	0	0	0
1700028D13Rik	0	0	0	0	0	0
Miat	133	266	96	13	5	30
Gm52821	0	0	0	1	1	0
Cryba4	113	85	93	49	58	56
Crybb1	119	75	81	35	64	34
Gm46941	5	10	8	4	6	3
Tpst2	4462	4266	3495	4491	3234	2502
Tfip11	2765	2800	2697	3260	1531	1491
Srrd	569	540	491	742	597	388
Hps4	751	1044	752	787	365	376
Ccdc121rt3	0	2	4	10	0	2
Gm20636	2	0	0	1	0	1
Asphd2	9	64	22	7	11	3
Sez6l	12	8	30	1	2	0
Ccdc121rt2	0	0	0	0	0	0
1700034G24Rik	0	0	0	0	0	0
Gm30529	0	0	0	0	0	0
Myo18b	39	47	48	23	11	8
1700095B10Rik	0	0	0	0	0	0
Grk3	3597	2436	4051	635	259	472
Gm22740	0	0	0	0	0	0
Crybb2	0	0	0	0	0	0
Gm43247	1	6	6	5	3	8
Crybb3	1	7	4	0	3	4
2900026A02Rik	703	999	864	371	138	138
4833439F03Rik	2	3	0	1	0	0
Gm42161	0	0	0	0	0	0
Lhfpl7	0	0	0	0	0	0
Sgsm1	12	4	13	2	0	1
Mir7229	0	0	0	0	0	0
Mir7230	0	0	0	0	0	0
1700016C19Rik	0	0	0	0	0	0
Aym1	0	0	0	0	0	0
Gm30812	0	0	0	0	0	0
Wscd2	42	76	80	24	34	23
Gm52822	0	0	0	0	0	0
Cmklr1	1269	1509	1455	210	199	166
Gm15736	1	0	0	0	0	0
Gm52823	0	0	0	0	0	0
1700069L16Rik	0	0	0	0	0	0
Gm46919	0	0	0	0	0	0
Ficd	256	302	324	297	137	161
Sart3	3430	3847	3126	3689	1847	2138
Iscu	2744	2880	2686	3003	2943	1589
Tmem119	104	124	126	203	79	72
Gm42004	0	0	1	0	1	0
Selplg	13028	19880	16129	13195	10313	6817
Gm52824	9	11	28	15	1	7
Coro1c	6457	7535	5997	7879	5059	3996
Gm42005	10	7	9	9	16	10
Ssh1	1182	1528	1259	613	619	475
Gm52826	0	8	0	1	0	1
Dao	5	9	5	2	8	1
Svop	0	0	0	0	0	0
Gm16108	0	0	0	0	0	0
Usp30	706	925	706	622	349	286
Alkbh2	324	369	256	395	563	231
Ung	1338	1607	1090	2011	1821	1004
Acacb	42	60	25	54	18	22
Foxn4	0	0	0	0	0	0
Myo1h	81	105	104	50	32	50
Kctd10	5396	5414	5027	7128	5042	3538
Ube3b	3348	3725	3551	2908	1419	1665
Mir7027	7	5	13	6	0	5
Mmab	385	435	325	430	185	218
Mvk	358	395	350	660	677	345
Gm34722	0	0	0	0	0	0
Gm13790	0	0	0	0	0	0
Fam222a	28	21	16	20	10	10
Gm34844	4	1	2	17	7	6
Trpv4	56	114	121	14	12	10
Gltp	5142	5568	5786	5361	4872	3169
Gm34931	18	11	14	9	6	9
Tchp	471	609	457	415	231	315
Mir7028	1	0	0	1	0	1
Git2	4934	5168	4759	4720	2619	2812
4930515G01Rik	28	15	30	23	8	16
Ankrd13a	14521	15742	14470	18040	8358	9021
1500011B03Rik	609	667	579	729	652	358
2610524H06Rik	713	551	479	1254	1578	728
Gm46920	0	0	0	0	0	0
Gm13821	0	0	0	0	2	0
Mir6240	0	0	0	0	0	0
4930519G04Rik	0	3	0	0	2	3
Gm9936	0	0	0	0	0	0
Oasl2	2584	2331	4368	4882	569	2192
Gm13822	52	36	46	70	35	32
Oasl1	642	640	634	792	339	233
2210016L21Rik	1420	1355	1198	1770	1669	892
Hnf1a	0	0	0	3	0	1
Hnf1aos1	1	1	0	2	0	0
Sppl3	2422	3537	2714	2248	1436	1326
Gm54336	98	95	111	66	29	59
Rpl37rt	376	518	373	442	681	300
Acads	2804	3018	2323	3525	2874	1371
Unc119b	3404	3502	3125	3630	1920	1941
Mlec	17798	17417	15234	23204	13669	12387
Cabp1	0	0	2	1	3	1
Gm35515	0	1	0	0	0	0
Pop5	1595	1389	1058	2005	2564	1095
Rnf10	8138	8931	8756	10538	5026	5073
Coq5	1417	1127	1259	2005	1373	913
Dynll1	11041	9077	8544	14548	13464	8059
Gm13830	5	0	1	2	5	8
Srsf9	3722	3847	3394	5057	4973	3073
Gatc	1057	991	924	1220	708	609
Triap1	3208	1770	2317	2927	3208	1812
Cox6a1	8306	8141	7176	12699	18529	7313
4930401G09Rik	0	0	0	0	0	0
Gm13832	0	0	0	0	0	0
A930005G22Rik	0	0	0	0	0	0
Msi1	0	0	0	0	0	0
Pla2g1b	0	5	0	0	0	0
Sirt4	219	200	172	244	194	163
Gm42007	0	1	2	2	2	0
Gm24265	3	4	1	1	6	1
Gm24407	0	1	2	0	0	1
Pxn	7624	8202	8616	8250	4562	5199
Gm13840	22	21	10	16	26	12
Rplp0	194383	163528	147095	259426	239361	121744
Gcn1	4566	4477	4628	3201	1243	1692
Mir7029	0	0	0	0	0	0
1110006O24Rik	36	26	33	39	50	28
Rab35	3968	4204	3640	5019	2740	2363
Mir7030	4	3	2	2	0	4
Bicdl1	121	174	143	301	193	154
Cit	1818	1186	1520	1723	722	1340
Gm42008	0	0	0	0	0	0
Gm36185	0	0	0	0	1	0
Prkab1	3728	3325	3011	4834	3498	2398
Gm13842	20	20	10	14	41	8
Tmem233	7	7	2	1	0	0
C330018A13Rik	1	2	0	0	0	0
Ccdc60	3	4	3	1	1	0
Gm36552	0	1	0	0	0	0
Gm36502	0	0	0	0	0	0
Gm52827	0	3	0	0	0	0
B230112J18Rik	1	0	1	3	0	0
4933424N20Rik	0	1	0	0	0	0
Gm36841	0	0	0	0	0	0
Hspb8	6	9	3	1	2	0
Gm42009	0	0	0	0	0	0
Srrm4os	0	0	0	0	0	0
Srrm4	0	0	0	0	0	0
Gm29843	0	0	0	0	0	0
Gm29926	0	0	0	0	0	0
Gm42010	0	0	0	0	0	0
Gm29972	0	0	0	0	0	0
Gm54337	0	0	0	0	0	0
Gm30028	0	0	0	0	0	0
Gm42011	0	0	0	0	0	0
Suds3	6831	5524	5028	7525	6532	4749
Taok3	6608	7178	6635	4952	2437	3413
Pebp1	13400	13000	9376	17103	16938	7427
BC051077	1	0	0	0	0	0
Gm52828	2	2	3	0	0	0
Gm10399	4	8	6	0	13	2
Vsig10	259	274	305	172	196	103
Gm42012	3	2	1	0	2	3
Wsb2	2114	2144	2076	2853	1784	1412
Rfc5	3829	2957	2834	6734	4576	3422
Gm15728	11	20	10	18	9	8
Gm52829	0	0	0	0	0	0
Ksr2	31	38	54	4	0	1
Gm42013	0	0	0	0	0	0
Gm30360	0	0	0	0	0	0
Nos1	69	61	104	3	0	0
Gm26995	0	0	0	0	0	0
Fbxo21	640	851	683	670	410	275
Tesc	266	266	182	663	3515	939
Fbxw8	2039	2753	2227	2924	1348	1274
Gm9754	3	2	6	4	6	5
Gm30466	1	0	0	2	3	5
Gm26411	2	0	0	0	0	0
Gm30522	0	0	0	0	0	0
Hrk	0	0	0	0	0	0
Rnft2	6	4	8	1	0	2
Spring1	367	308	330	381	285	182
Gm25076	1	0	0	0	1	0
Gm46942	3	7	2	9	7	13
Gm30604	9	19	25	14	4	28
Gm30657	0	0	0	0	0	0
Gm30746	0	0	0	0	0	0
Gm46921	0	0	0	0	0	0
Med13l	3017	2304	2861	1620	688	1228
Gm42015	0	0	0	0	0	0
4930413E15Rik	0	0	0	0	0	0
Gm30895	0	0	0	0	0	0
Gm31034	0	0	0	0	0	0
1700081H04Rik	0	0	0	0	0	0
Gm31129	0	0	0	0	0	0
Gm7538	0	0	0	0	0	0
Gm31190	0	0	0	0	0	0
Gm42016	0	0	0	0	0	0
Gm31314	0	0	0	0	0	0
Tbx3os1	0	0	0	0	0	0
Gm16063	0	0	0	0	0	0
Gm16064	0	0	0	0	0	0
Tbx3	0	1	0	0	0	0
Tbx3os2	0	0	0	0	0	0
Gm42017	0	0	0	0	0	0
Tbx5	0	0	0	0	0	0
Gm5563	0	0	0	0	0	0
Gm31773	0	0	0	0	0	0
Gm38554	0	0	0	0	0	0
Gm42018	0	0	0	0	0	0
Gm42019	0	0	0	0	0	1
Rbm19	1348	1577	1253	1619	629	631
Gm10390	0	1	3	3	1	1
Gm31836	0	0	1	0	0	0
Lhx5as1	0	0	0	0	0	0
Lhx5	0	0	0	0	0	0
Sdsl	1614	1838	1148	1936	1932	816
Sds	0	0	0	0	0	1
Plbd2	1918	2295	2296	1723	845	801
Slc8b1	3410	3662	4166	3049	2541	2050
Tpcn1	2995	2880	2822	3721	1402	1952
Iqcd	77	33	57	147	109	61
Rita1	339	258	239	514	462	236
Ddx54	4792	6455	4944	5500	3519	2943
Cfap73	0	0	0	0	0	0
Rasal1	18	32	30	49	37	34
Dtx1	818	2755	855	731	803	706
Oas2	1019	750	1512	1009	145	669
Oas3	3126	2131	3756	3473	924	1999
Oas1e	1	0	0	0	0	1
Oas1c	267	219	203	307	236	124
Oas1b	205	205	215	292	200	194
Oas1f	0	0	1	0	0	0
Oas1h	0	0	0	0	0	0
Oas1g	413	210	369	254	115	90
Oas1a	3914	2091	3303	2604	1414	1297
Oas1d	0	0	3	1	0	0
Rph3a	9	10	6	32	8	20
Gm32185	0	0	0	0	0	0
Ptpn11	6070	5248	5406	6589	2945	3113
Rpl6	80905	69962	57730	92208	91041	50891
Gm26205	18	20	19	31	12	23
Hectd4	3018	1641	2560	1473	544	1265
Gm24671	0	0	0	0	0	0
Trafd1	5921	5161	6291	7701	3698	3884
Gm42020	6	6	9	8	3	8
Naa25	3691	2755	2865	5386	1595	1848
Erp29	13735	10318	11143	18495	22456	10654
Tmem116	15	16	14	18	22	11
Adam1b	0	2	1	0	0	0
Adam1a	67	50	34	71	33	59
Mapkapk5	1651	1640	1517	2401	1919	1407
Aldh2	38433	27020	28996	47937	52039	32989
Acad12	189	188	209	139	164	87
Acad10	212	219	198	261	151	96
Brap	3756	3229	3255	4098	2257	2031
Atxn2	1177	1199	1141	1090	448	734
Sh2b3	3716	3464	4046	2543	1225	1642
Mir7031	0	0	0	0	0	0
Gm32422	1	0	0	0	2	0
Pheta1	360	402	317	369	290	157
Cux2	9	25	3	9	2	5
Gm52785	0	0	0	0	0	0
LOC118568726	0	0	0	0	0	0
Gm52786	0	0	0	0	0	0
Myl2	13	21	27	20	29	20
Ccdc63	59	36	45	78	43	54
Ppp1cc	15118	9927	10391	21402	13446	11039
Hvcn1	3385	3012	3021	5373	5057	3253
Tctn1	372	438	473	466	245	281
1700112N08Rik	1	0	0	0	0	0
Pptc7	2318	2272	2117	2676	1650	1225
Rad9b	98	110	110	105	76	54
Vps29	5213	2799	3669	5435	5444	3560
Fam216a	1436	922	815	2183	1686	1193
Gpn3	2761	1671	1802	3511	2911	1922
Gm32853	7	9	6	14	2	4
Arpc3	32588	21670	25394	36072	48113	25687
Anapc7	3374	2917	2558	4604	3571	1973
Atp2a2	10562	7714	9379	14606	4266	6294
1700040P09Rik	0	0	0	0	0	0
Ift81	107	79	70	63	37	23
Gm32988	0	0	0	0	0	0
P2rx7	1298	1033	1256	1571	821	921
Mir8115	0	0	0	0	0	0
P2rx4	2727	2050	2530	1261	1024	616
Camkk2	4198	3724	3703	3586	2007	2125
Anapc5	12905	13014	11613	21241	11668	9973
Gm33044	9	1	8	12	16	3
Rnf34	2327	1603	1904	3081	1983	1637
Kdm2b	2890	3052	2713	2929	1151	1264
Gm33118	3	4	1	0	2	0
A930024E05Rik	61	96	80	21	49	26
Gm2479	1	4	2	0	1	0
Orai1	1711	2111	1971	1919	2111	1217
Morn3	1	0	4	2	5	0
Gm42023	14	11	8	4	9	2
Tmem120b	371	148	264	703	416	410
Rhof	993	1857	922	913	823	523
AI480526	216	163	150	145	103	263
Setd1b	2423	2160	2461	1436	680	1318
Gm54284	0	0	0	0	0	0
Hpd	0	0	0	0	0	0
Psmd9	3117	1949	2231	5430	6009	3042
Cfap251	4	21	4	24	4	16
Gm15860	43	31	22	36	28	12
Bcl7a	1247	1284	1004	1500	682	657
Gm23458	12	15	11	9	0	4
Mlxip	2770	2733	3193	1792	559	1145
Il31	0	0	0	0	0	0
Lrrc43	0	0	0	0	0	0
B3gnt4	14	18	7	7	6	3
Diablo	2815	2451	2199	3325	3066	1731
Mir7647	0	0	0	0	0	0
Vps33a	2874	2489	2740	3444	1608	1502
Clip1	3833	3195	3577	3543	1300	1955
Zcchc8	2940	2809	2462	3720	1835	2117
Rsrc2	3782	3452	3335	4484	3154	2833
Kntc1	1834	1023	1505	2063	700	1152
Hcar2	1265	911	1710	255	160	181
Hcar1	0	1	3	0	0	0
Denr	4843	4132	3387	5647	5685	3150
Ccdc62	87	78	67	88	59	62
Hip1r	2600	3002	2301	4229	3591	3119
Gm46922	2	5	3	1	2	1
Mir7032	0	0	0	0	0	0
Vps37b	2582	3287	2837	2461	1942	1440
Gm34086	12	8	25	10	6	4
Abcb9	219	293	249	453	369	240
Gm16001	69	28	34	44	30	23
Ogfod2	878	882	763	1178	1499	686
Arl6ip4	2969	2893	2398	4700	4453	2600
Pitpnm2	908	950	1006	729	304	367
Gm52788	3	0	1	2	0	0
Gm57733	2	0	0	3	0	0
Pitpnm2os2	0	0	0	0	0	1
Pitpnm2os1	0	0	0	0	0	0
Mphosph9	984	820	899	1251	380	589
Mtrfr	801	657	635	886	638	428
Cdk2ap1	2764	3007	2472	4360	3450	2131
Sbno1	6127	5228	5247	6489	3003	3440
Kmt5a	8284	6271	6096	12241	8118	6955
Rilpl2	3328	2385	2303	3879	5061	2544
Snrnp35	586	469	479	740	814	456
Gm52789	0	2	1	2	1	3
Rilpl1	113	100	109	71	114	29
Tmed2	10627	7709	8200	15603	13626	8799
Ddx55	1154	1416	969	1534	1074	892
Eif2b1	2716	2222	2013	4534	2759	1897
Gtf2h3	2117	1706	1546	2412	1736	1056
Tctn2	43	53	47	78	35	20
Atp6v0a2	4170	3992	3995	4028	1804	1722
Dnah10	4	1	2	0	0	1
Ccdc92	59	121	54	105	76	66
Zfp664	1792	1640	1556	1399	578	732
Gm32449	0	0	0	0	0	0
Gm40320	0	0	0	0	0	0
Gm40321	0	0	0	0	0	0
Gm32529	0	0	0	0	0	0
Rflna	0	0	0	0	0	0
Ncor2	3693	3265	3899	1415	672	1169
Gm32585	0	0	0	1	0	0
Scarb1	6247	5139	6902	6281	3210	2796
Gm32701	1	0	0	0	0	0
Gm40323	0	0	0	0	0	0
Gm40324	0	0	0	0	0	1
Ubc	2616	3129	2467	3478	3376	1996
Gm10382	5	1	2	4	1	3
n-TAtgc10	0	0	0	0	0	0
n-TDgtc15	0	0	0	1	0	0
n-TFgaa7	0	0	0	0	0	0
n-TDgtc14	1	0	5	0	2	0
n-TAtgc5	0	0	0	0	0	0
Dhx37	1681	1994	1608	1811	760	713
Bri3bp	4372	4585	3902	6127	5892	3056
Gm40325	0	6	1	0	2	2
Aacs	1230	1370	1435	2213	1497	1063
Tmem132b	4	4	8	1	0	0
Gm32811	0	0	0	0	0	0
Mir12200	0	0	0	0	0	0
Gm40327	0	0	0	0	0	0
Gm4868	0	0	0	0	0	0
Gm40328	0	0	0	0	0	0
Gm32986	0	0	0	0	0	0
1700048F04Rik	0	0	0	0	0	0
Gm40329	0	0	0	0	0	0
Gm23151	0	0	0	0	0	0
Gm40330	0	0	0	0	0	0
Gm24839	0	0	0	0	0	0
Gm33239	0	0	0	0	0	0
1700081B01Rik	0	0	0	0	0	0
Gm33347	0	0	0	0	0	0
Gm40331	0	0	0	0	0	0
4933438B17Rik	0	0	0	0	0	0
Gm33491	0	0	0	0	0	0
4930572K03Rik	0	0	0	0	0	0
4930548G05Rik	0	0	0	0	0	0
Tmem132c	0	2	7	0	0	0
Gm54294	0	0	0	0	0	0
Tmem132cos	0	0	0	0	0	0
Slc15a4	3285	2689	2964	2030	1196	997
Glt1d1	76	68	54	165	71	70
Tmem132d	0	0	0	0	0	0
Gm33738	2	3	7	1	12	3
Gm38612	0	1	0	0	4	1
Fzd10os	2	16	0	6	5	5
Fzd10	6	15	2	11	25	8
Gm33931	0	0	0	0	0	0
Gm33995	0	0	0	0	0	0
Piwil1	0	0	0	0	0	0
Rimbp2	0	1	0	0	0	0
Gm42875	0	0	0	0	0	0
Gm34057	0	0	0	0	0	0
Stx2	3306	2684	2703	3559	1779	1750
Ran	48352	30715	31143	66934	75906	42676
Adgrd1	46	21	60	111	65	57
Gm52830	0	0	0	0	0	0
Gm46923	0	0	0	0	0	0
Gm34145	0	0	0	0	0	0
Gm54304	0	0	0	0	0	0
Gm34468	0	0	0	0	0	0
Gm40333	0	0	0	0	0	0
Gm40332	6	0	2	4	6	5
Sfswap	2426	2600	2522	2825	1503	1750
Mmp17	25	8	24	40	17	28
Gm6139	9	7	10	20	16	6
Zfp11	118	126	86	121	79	64
Septin14	0	0	0	0	0	0
Mrps17	3030	2190	2158	4128	4067	2197
Nipsnap2	2435	1724	2009	3275	2449	1419
Psph	1156	974	892	1967	2251	1037
Cct6a	27006	16586	17185	37460	32451	18956
Gm23245	5	2	0	5	0	6
Snora15	5	0	2	1	4	3
Sumf2	1013	921	699	1424	993	534
Phkg1	6	3	3	0	2	0
Chchd2	16291	13630	12312	19278	25733	13033
Zbed5	129	158	115	144	108	79
Nupr2	26	24	12	16	25	14
Vkorc1l1	3739	2668	2780	5570	2594	2567
Gusb	6188	6174	6128	9203	4545	3984
Asl	1804	1883	1579	2362	2224	1254
Gm40334	1	0	0	0	0	1
Crcp	2275	1694	1693	3063	2716	1665
Gm54305	0	0	0	0	0	0
Tpst1	568	486	596	832	410	391
Kctd7	432	479	493	715	439	270
Rabgef1	1725	1267	1313	2722	1521	1209
Tmem248	3252	3701	3187	4729	2803	2334
Gm6598	5	1	3	4	10	7
Sbds	3179	2384	2496	3975	4160	2239
Tyw1	1978	2156	1653	2278	1186	972
Caln1	0	0	0	0	0	0
Gm40336	0	0	0	0	0	0
A330070K13Rik	0	0	0	0	0	0
Gm40337	0	0	0	0	0	0
Galnt17	7	34	8	3	1	0
Gm40338	0	0	0	0	0	0
Gm29681	0	0	0	0	0	0
Auts2	24	69	23	18	9	7
Gm54306	0	0	0	0	0	0
4930563F08Rik	0	0	0	0	0	0
Gm36528	0	0	0	0	0	0
Gm57743	0	0	0	0	0	0
Gm36667	0	0	0	0	0	0
Gm40339	0	0	0	0	0	0
Gm40340	0	0	0	0	0	0
Gm15627	0	0	0	0	0	0
Castor2	300	255	339	76	40	43
Rcc1l	1159	1322	915	1803	1145	612
Gtf2ird2	631	916	558	653	399	261
Ncf1	16470	11417	15398	33936	25195	21501
Gm57734	31	23	21	76	16	30
Gtf2i	6833	7803	5695	7615	3478	3444
Mir3965	0	0	0	0	0	0
Gm46925	1	0	0	0	0	0
Gtf2ird1	626	742	772	508	202	238
Clip2	1069	1263	1015	443	277	239
Syna	3	10	1	3	1	5
Mir7228	0	0	0	0	0	0
Rfc2	5752	5741	4640	7823	7294	4504
Lat2	4134	3625	3602	2692	2809	1976
Eif4h	18140	16688	15784	26596	17335	12776
Limk1	1161	1624	1331	1071	499	520
Gm10369	10	13	13	6	15	0
Eln	4	3	1	1	0	0
Gm30003	0	0	0	0	0	0
Tmem270	0	0	0	1	0	0
Cldn13	3560	915	2172	7628	8115	4058
9030607J07Rik	0	0	3	2	0	0
Mettl27	139	150	125	287	206	111
Cldn4	1	1	3	0	2	0
Cldn3	2	0	0	0	0	0
Wbscr25	0	0	0	0	0	0
Gm57747	0	0	0	0	0	0
Abhd11	1452	1464	1312	2937	2196	1272
Abhd11os	1	0	0	2	1	0
Stx1a	14	23	5	31	19	23
Bud23	2136	2192	1695	2939	2536	1383
Gm25492	6	12	8	8	2	5
Dnajc30	623	725	567	891	803	403
Vps37d	1	3	2	3	0	0
Mlxipl	37	10	15	6	7	5
Tbl2	1413	1524	1364	2075	813	881
Bcl7b	2047	2103	1838	2288	2102	1181
Baz1b	11777	10006	10034	13272	5314	7378
Fzd9	8	11	5	14	10	1
Fkbp6	2	1	2	1	0	0
Trim50	3	2	1	0	0	0
Nsun5	924	967	776	1300	643	533
Pom121	3134	3433	3066	3344	1457	1907
Mir7033	0	0	0	0	0	0
Hip1	3258	2371	3769	1223	337	733
Gm52790	1	10	2	0	1	4
Ccl26	0	1	0	0	0	0
Ccl24	122	165	327	44	82	37
Rhbdd2	632	1028	718	821	494	331
Por	4894	7236	6122	3966	2542	2026
Gm40345	7	8	0	4	3	2
Tmem120a	1121	1133	966	1894	2403	1157
Mir7034	0	0	0	0	0	0
Styxl1	11	9	9	15	13	15
Gm30205	29	24	38	41	84	53
Mdh2	12568	12827	11262	21273	19202	10985
Srrm3	0	0	0	1	0	0
Gm22450	0	0	0	0	0	0
Hspb1	3	8	17	4	1	1
Ywhag	9254	10004	9390	10733	5733	5629
Gm40346	19	26	10	25	49	19
Ssc4d	161	162	158	317	231	147
Zp3	0	0	0	0	0	0
Dtx2	862	1230	932	1022	529	492
Upk3b	9	1	0	0	0	5
Upk3bl	3	7	1	13	6	4
Gm40347	2	0	1	0	0	0
Rasa4	1893	2096	2025	1246	548	696
Mir7035	2	3	8	4	0	1
Polr2j	4136	2761	2889	4952	5412	3400
Lrwd1	3478	3509	3191	5271	4093	2511
Alkbh4	849	950	783	1279	1726	787
Orai2	2374	2733	2418	2361	1529	1624
Prkrip1	1608	1023	1020	1877	2393	1183
Sh2b2	590	731	676	643	279	356
Gm30408	27	6	17	16	10	11
Cux1	4957	5748	5140	4046	2271	2349
Gm16599	0	3	2	0	5	0
Mir721	0	0	0	0	0	0
Gm54307	0	0	1	0	0	0
Gm38722	7	17	6	3	5	3
Myl10	142	364	144	71	58	35
Col26a1	0	0	0	0	0	0
Gm30654	0	0	0	0	0	0
Gm20485	0	1	0	0	0	0
Ift22	650	697	612	719	451	325
4933404O12Rik	638	590	558	1019	351	371
Fis1	10071	7876	7819	12363	22086	8948
Cldn15	925	664	748	2575	1845	1306
Znhit1	2932	2150	2390	4213	4858	2547
Plod3	5175	5087	5435	5766	2562	2729
Mir702	0	0	0	0	0	0
Vgf	0	0	0	1	0	3
Ap1s1	3833	3832	3134	7597	7082	3514
Serpine1	48	24	38	6	5	2
Trim56	1095	612	864	617	106	347
Muc17	1	0	1	0	0	0
Gm40348	2	1	0	2	0	2
Gm31160	1	2	1	2	2	0
Muc3a	50	23	34	43	27	61
Gm42456	0	0	0	0	1	0
Ache	328	97	265	326	265	283
Mir8116	0	0	0	0	0	0
Ufsp1	100	82	80	120	131	79
Srrt	10619	9557	8271	15346	8794	9009
Mir7036	1	0	2	0	0	0
Trip6	812	944	789	670	583	374
Slc12a9	1248	1261	1662	1159	684	682
Gm52791	0	0	0	0	0	0
Ephb4	9	17	8	10	0	1
Zan	11	23	28	2	0	6
Gm38725	0	0	0	0	0	0
Gm36056	0	0	0	0	0	0
Epo	0	0	0	0	0	0
Pop7	864	1021	841	1348	1532	732
9130604C24Rik	78	76	59	57	98	42
Gigyf1	2443	2315	2434	1381	840	1225
Gnb2	16309	18903	17301	20629	18833	11424
Mir6418	0	0	0	0	0	0
Gm17112	3	2	0	1	6	0
Actl6b	0	0	0	0	0	0
Tfr2	2691	2717	2097	3918	1865	1531
Mospd3	2282	2829	2196	3823	2643	1751
Pcolce	11	17	15	4	3	4
Fbxo24	4	5	2	5	5	2
Gm36266	115	146	111	80	62	145
Gm20605	214	301	235	190	138	191
Lrch4	0	0	0	0	0	0
Sap25	0	0	0	0	0	0
