Condition	KO	KO	KO	WT	WT	WT
Gm34303	1	2	1	0	1	0
Gm38537	5	0	4	6	11	5
Gm30173	0	0	0	0	0	0
Gm40047	1	0	1	0	0	0
Gm30235	0	0	0	0	0	0
Gm22798	0	0	0	0	0	0
Gm2447	0	0	0	0	0	0
Gm30292	3	1	2	9	5	4
Gm20750	0	0	0	0	0	0
Gm30351	0	0	0	0	0	0
Gm30402	0	1	0	0	0	0
Cog6	1478	1050	1197	1956	1198	990
Lhfpl6	12	15	15	7	3	2
Gm40048	0	0	0	0	0	0
Nhlrc3	405	205	333	220	85	106
Gm16206	3	4	0	2	0	0
Proser1	803	676	801	873	330	484
Stoml3	0	2	2	0	1	0
Frem2	0	0	1	0	0	0
Gm30735	0	0	0	0	0	0
Gm24851	0	0	0	0	0	0
Ufm1	3274	1762	2464	4103	3244	2459
Gm31026	0	0	0	0	0	0
Trpc4	0	0	0	0	0	0
Gm54174	0	0	0	0	0	0
Postn	6	14	14	0	0	1
Gm31095	1	1	0	1	0	0
Gm31154	0	0	0	1	0	1
Gm40050	2	0	0	2	5	0
Supt20	2579	1720	2166	2824	1286	1842
Exosc8	3329	2143	2457	5297	4802	3447
Alg5	2259	1462	1749	2802	2482	1679
Smad9	0	0	0	1	0	0
Rfxap	781	706	639	964	721	567
Sertm1	0	0	0	0	0	0
Gm31358	0	0	0	0	0	0
Ccna1	1	2	1	1	4	3
4931419H13Rik	0	0	0	0	0	0
Spart	801	806	809	654	270	305
Ccdc169	0	1	4	2	1	1
Sohlh2	0	0	0	0	0	0
Dclk1	0	0	1	1	1	3
Gm25132	0	0	0	0	0	0
Gm9831	0	0	0	0	0	0
Gm31443	0	0	0	0	0	0
Gm31796	0	0	0	0	0	0
Gm25404	0	0	0	0	0	0
LOC115489760	0	0	0	0	0	0
Gm43549	0	0	0	1	0	0
Nbea	72	40	31	8	1	5
Gm46804	0	0	0	0	0	0
Mab21l1	0	0	0	0	0	0
4933417G07Rik	0	0	0	0	0	0
Gm31914	0	0	0	0	0	0
Mir12194	0	0	0	0	0	0
Gm22784	0	0	0	0	0	0
Gm40052	0	0	0	0	0	0
Gm40053	0	2	2	2	0	1
Gm40054	0	0	0	0	0	0
Gm32177	0	0	0	0	0	0
Gm25727	0	0	0	0	0	0
Gm32237	0	0	0	0	0	0
Gm57717	0	0	0	0	0	0
Gm22269	0	0	0	0	0	0
Tm4sf1	16	14	19	33	15	10
Mir12195	0	0	0	0	0	0
Tm4sf4	0	0	0	0	0	0
Wwtr1	8	14	20	3	0	1
Gm16016	0	0	0	0	0	0
Gm26671	0	0	0	0	0	0
Mir6377	0	0	0	0	0	0
Gm46805	2	0	0	0	0	0
Commd2	2357	1244	1598	2490	2979	2356
Ankub1	0	0	0	0	0	0
Rnf13	4573	1929	3445	3241	2568	2162
Pfn2	44	38	21	63	88	39
Gm32753	0	0	0	0	0	1
Gm40055	0	0	0	0	0	0
Gm40056	0	0	0	0	0	0
1700007F19Rik	0	0	0	0	0	0
Gm40057	0	0	0	0	0	0
Gm26166	0	0	0	0	0	0
Gm32847	0	0	0	0	0	0
Tsc22d2	950	832	980	790	324	459
Serp1	19822	9030	15789	21556	15090	13699
Eif2a	5436	3145	3923	6451	4227	3350
Selenot	15330	7442	11261	15860	11077	9975
Erich6	1	0	2	0	1	1
Gm46806	0	1	0	0	0	0
Gm8234	1	5	4	3	0	1
Siah2	656	641	677	704	384	371
4930593A02Rik	3	2	3	1	2	0
Mindy4b-ps	0	0	0	0	0	0
Gm40059	0	0	0	0	0	0
Clrn1	0	0	0	0	0	0
Gm22491	0	0	0	0	0	0
Rpl13-ps6	34	25	20	25	24	14
Med12l	158	115	140	103	36	62
Gpr171	1178	1192	948	610	362	363
P2ry14	430	338	454	504	1132	615
F630111L10Rik	2	4	4	3	25	7
Gpr87	0	0	0	0	0	0
Gm51434	0	0	0	0	0	0
P2ry13	1152	691	1585	666	137	265
P2ry12	294	180	472	196	30	70
Igsf10	9	1	9	1	1	1
n-TVcac1	0	0	0	0	0	0
Gm5709	0	0	0	0	0	0
Aadacl2fm2	0	0	0	0	0	0
Gm16527	0	0	0	0	0	0
Aadacl2fm3	0	0	0	0	0	0
Aadacl2fm1	0	0	0	0	0	0
Gm9696	0	0	0	0	0	0
Aadacl2	0	0	0	0	0	0
Aadac	0	0	0	0	0	0
Sucnr1	18	11	16	2	5	1
Gm24382	0	0	0	0	0	0
Gm33650	3	0	1	2	4	0
Gm54175	8	5	8	2	1	0
Mbnl1	21636	15698	18381	21038	10977	10844
Gm38326	0	0	0	2	1	0
P2ry1	979	654	708	1410	497	632
Rap2b	3267	2223	2824	2518	1397	1302
Gm40061	0	0	0	0	0	0
Gm57706	0	0	0	0	0	0
Gm54176	0	0	0	0	0	0
Gm54177	0	0	0	0	0	0
Gm57711	0	0	0	0	0	0
Arhgef26	62	112	48	20	15	15
Gm33923	1	0	0	0	0	0
Dhx36	2648	1573	2052	3287	1645	1527
Gpr149	3	1	1	1	1	1
Gm40062	0	0	0	0	0	0
Gm40063	0	0	0	0	0	0
Gm22433	0	0	0	0	0	0
Gm40064	0	0	0	0	0	0
Gm57709	0	0	0	0	0	0
Mme	0	0	0	0	0	0
Gm34240	0	0	0	0	0	0
Strit1	0	0	0	0	0	0
Plch1	3	1	1	1	2	3
E130311K13Rik	201	108	131	144	131	110
Slc33a1	1375	822	1130	1976	947	923
Gmps	4483	3333	3656	7057	3569	3208
Vmn2r1	0	0	0	2	1	4
Vmn2r2	0	0	0	0	0	0
Vmn2r3	0	0	0	0	0	0
Gm23897	0	0	0	0	0	0
Vmn2r4	0	0	0	0	0	0
Vmn2r5	0	0	0	0	0	0
Vmn2r6	0	0	0	0	0	0
Vmn2r-ps11	0	0	0	0	0	0
Vmn2r7	0	0	0	0	0	0
Gm25222	0	0	0	0	0	0
Gm54196	0	0	0	0	0	0
Kcnab1	3	3	3	6	2	0
A330015K06Rik	0	0	1	0	0	0
A730090N16Rik	14	7	5	11	4	5
Ssr3	14150	7070	10744	18448	9913	10059
Gm34576	0	0	0	0	0	0
Gm40066	0	0	0	0	0	0
Gm38503	30	28	35	21	20	13
4931440P22Rik	25	29	28	27	19	16
Tiparp	960	431	812	1236	474	540
Gm34924	0	0	0	0	0	0
Gm54197	1	0	0	0	0	0
Mir8120	0	0	0	0	0	0
Lekr1	97	54	53	77	59	48
Gm25755	0	0	0	0	0	0
Gm54198	0	1	0	0	0	0
Gm35039	4	0	0	9	10	9
Ccnl1	3064	1872	2602	3028	1705	2520
Veph1	0	0	0	0	0	0
Gm54199	0	0	0	0	0	0
Ptx3	1	0	0	0	0	0
Gm35184	0	0	0	0	0	0
Gm35236	3	3	0	2	2	1
Gm54200	0	1	0	0	0	0
Shox2	2	3	5	1	2	0
Rsrc1	1633	1130	1250	2092	1299	1046
Gm54201	0	0	0	1	0	0
Gm22295	0	0	0	0	0	0
Mlf1	10	7	6	32	36	29
Gfm1	2197	1573	1808	3952	2052	1724
Lxn	488	486	384	576	405	350
Rarres1	4	2	3	4	1	2
Gm40067	1	0	0	0	0	0
Gm35299	0	0	0	0	0	0
Gm25919	0	0	0	0	0	0
Mfsd1	4892	3127	4748	6855	2677	2981
Gm35407	0	0	0	0	0	0
Gm40068	0	0	0	0	0	0
Iqschfp	0	0	0	0	0	0
Iqcj	0	0	0	0	0	0
Schip1	1	0	0	0	0	1
Gm5848	57	34	33	54	54	46
Gm54202	0	0	0	0	0	0
Gm10723	0	0	0	0	0	0
Gm22073	0	0	0	0	0	0
Gm57836	0	15	2	0	0	0
Il12a	50	59	36	64	31	45
Gm35584	0	0	0	0	0	0
1110032F04Rik	35	34	31	70	61	28
Ift80	753	388	552	1058	476	597
Smc4	11813	8446	8415	20774	14259	12916
Mir15b	0	0	0	0	0	0
Mir16-2	0	0	0	0	0	0
Trim59	2553	1213	1705	4126	2196	2189
9630025H16Rik	0	0	0	0	0	0
Kpna4	7974	4448	6261	6858	3529	3866
Gm22009	12	4	6	5	4	6
Gm1647	1	3	2	1	2	0
Gm54203	0	0	0	0	0	0
Arl14	0	0	0	0	0	0
Gm40070	0	0	0	0	0	0
Ppm1l	738	402	513	765	236	343
Gm52607	0	0	0	0	0	0
B3galnt1	236	106	265	77	155	103
Gm57714	0	0	0	0	0	0
Nmd3	2349	1244	1645	3502	2500	1742
Sptssb	0	0	0	0	0	0
Gm52608	0	0	0	0	0	0
Gm35817	0	0	0	0	0	0
Gm23484	0	0	0	0	0	0
Otol1	0	0	0	0	0	0
Gm23477	0	0	0	0	0	0
Gm6634	38	12	27	3	2	3
Sis	0	0	0	1	0	1
Slitrk3	0	0	0	0	0	0
Gm20754	0	0	0	0	0	0
4930509J09Rik	0	0	0	0	0	0
Bche	0	0	0	0	0	0
Gm20356	0	0	0	0	0	0
Gm57715	0	0	0	0	0	0
Gm36069	0	0	0	0	0	0
Zbbx	0	0	0	0	0	0
Gm40071	0	0	0	0	0	0
Serpini2	0	2	0	0	0	0
Wdr49	2	4	3	3	1	3
Pdcd10	5966	2502	4035	6647	5714	4810
Serpini1	226	161	155	227	177	145
Platr10	0	0	0	0	0	0
Gm25846	0	0	0	0	0	0
Golim4	3643	1493	2465	4268	2139	3049
Fstl5	0	0	0	1	0	0
Gm23644	0	0	0	0	0	0
Gm36288	0	0	0	0	0	0
Gm36341	0	0	0	0	0	0
Gm38542	0	0	1	0	0	0
Gm23440	0	0	0	0	0	0
Gm52609	0	0	0	0	0	0
Rapgef2	1148	929	1287	726	275	505
Gm24150	0	0	0	0	0	0
4921511C10Rik	2	3	0	0	2	4
6430573P05Rik	13	7	8	8	2	8
Gm40072	0	0	0	0	0	0
Spmip2	0	0	0	0	0	0
Fnip2	1040	686	1132	975	281	476
4930589L23Rik	2	0	0	0	3	0
Ppid	5047	3328	3405	5653	4854	3277
Etfdh	2421	1547	1945	3281	1574	1499
4930579G24Rik	756	388	498	1520	924	789
Rxfp1	0	0	0	0	0	0
Tmem144	38	24	26	57	13	24
Gm26420	0	0	0	0	0	0
Gask1b	26	16	26	2	3	4
A330069K06Rik	0	0	0	0	0	0
Gm57716	0	0	0	0	0	0
Gria2	5	2	3	0	0	0
Glrb	0	0	0	0	3	0
Gm54207	0	0	0	0	0	0
Gm29808	5	5	4	4	1	1
Pdgfc	134	56	228	8	11	5
Gm52636	0	0	0	0	0	0
A830029E22Rik	0	0	0	0	0	0
LOC102640985	0	1	0	0	0	0
Ctso	1579	926	1424	982	663	561
Tdo2	0	0	1	0	0	0
Asic5	0	0	0	0	1	0
Gucy1b1	32	16	19	13	4	7
Gucy1a1	61	79	55	13	7	10
Mir7010	0	0	0	0	1	0
Gm29921	0	0	0	0	0	0
Gm57713	0	0	0	0	0	0
Map9	24	25	12	21	5	4
Npy2r	0	0	0	0	0	0
Gm29999	0	0	0	0	0	0
Rbm46	0	0	0	0	0	0
Rbm46os	0	0	0	0	0	0
Lrat	0	0	0	0	1	0
Gm30097	0	0	0	0	0	0
Fgg	0	0	0	0	0	0
Fga	0	0	0	0	0	0
Gm40075	0	0	0	0	0	0
Fgb	0	1	0	0	0	0
Plrg1	3327	2017	2405	4273	2662	2393
Gm10710	0	0	0	0	0	0
Dchs2	0	0	0	0	0	0
Gm54183	0	0	0	0	0	0
1700028M03Rik	0	0	0	1	0	0
Gm40076	0	0	0	0	0	0
Gm54209	0	0	0	0	0	1
Gm24584	0	0	0	0	0	0
Gm30293	0	0	0	2	4	4
Sfrp2	0	0	0	0	0	0
Tlr2	1797	950	1828	2217	661	912
Tmem131l	2623	2299	2811	2392	1165	1531
Gm30352	12	4	4	7	2	6
Gm30458	1	0	0	0	0	0
Mnd1	302	191	237	555	426	311
Trim2	196	75	152	161	100	91
Gm6525	12	16	11	10	13	10
Gm40078	1	1	0	0	1	0
n-TGgcc9	0	0	0	0	0	0
4930565D16Rik	0	0	0	0	0	0
Fhdc1	263	74	211	197	106	77
Arfip1	1892	1624	2106	2579	1425	1364
Gm35410	8	4	11	7	7	6
Tigd4	0	2	0	1	0	0
Gm46836	0	0	0	0	0	0
Tmem154	2003	1299	2002	4034	2959	2526
Gm40079	0	0	0	0	0	1
Gm35486	40	19	40	28	23	31
Fbxw7	894	947	887	914	578	559
Gm40080	2	0	0	0	0	0
Gm30944	0	0	0	0	0	0
Gm30991	0	0	0	0	0	0
Gm31096	0	0	0	0	0	0
1700036G14Rik	0	0	0	0	0	0
Gm31210	0	0	0	0	0	0
Gm52637	0	0	0	0	0	0
Gm31359	0	0	0	0	0	0
Gm31304	0	0	0	0	0	0
Gm31419	0	0	0	0	0	0
Mir466k	0	0	0	0	0	0
Gm3740	6	8	6	3	2	4
Gm54168	0	0	0	0	0	0
Gatb	683	444	561	809	676	445
Gm46809	6	3	4	1	0	3
Fhip1a	1	3	6	32	36	17
Gm40082	0	0	0	0	0	0
Glt28d2	0	0	2	12	49	26
Gm26204	0	0	0	0	0	0
Gm27811	0	0	0	0	0	0
Sh3d19	403	311	388	455	199	239
Prss48	1	0	0	1	0	0
Gm25188	2	2	0	0	0	0
Rps3a1	42140	33476	35839	45032	47559	34042
Snord73a	1	7	4	5	6	8
Snord73b	26	6	10	16	6	16
Gm23025	0	0	0	0	0	0
Lrba	1248	843	1083	1111	464	627
Gm26343	0	0	0	0	0	0
Gm40083	0	0	0	0	0	0
Gm23850	0	0	0	0	0	0
Gm25039	0	0	0	0	0	0
Gm31677	0	0	1	1	0	0
Mab21l2	0	0	0	1	1	2
Gm52625	0	0	0	0	0	0
Dclk2	155	89	150	156	95	110
Gm46810	1	0	1	0	0	0
Gm23376	0	0	0	0	0	0
Cd1d2	23	13	16	8	13	7
Cd1d1	1490	1056	1332	910	664	500
Gm24472	0	0	0	0	0	0
Kirrel1	0	0	1	0	0	1
Fcrl2	29	25	17	6	4	6
Gm31879	0	0	0	0	0	0
Gm31940	9	3	5	1	0	0
Cd5l	3608	2688	5746	195	238	237
Fcrl1	291	217	415	147	97	73
Gm40084	0	0	0	0	0	0
Fcrl5	15	8	27	0	2	1
Gm40085	8	0	3	4	9	1
Etv3	1571	1154	1670	1320	636	712
Etv3l	0	0	0	0	0	0
Arhgef11	786	525	872	518	196	367
Gm6570	0	0	2	1	1	1
Lrrc71	9	8	4	2	4	5
Pear1	542	987	624	176	114	109
Ntrk1	0	0	0	0	0	0
Insrr	4	10	2	3	3	6
Gm40086	0	0	0	0	0	0
Gm32470	0	0	0	0	0	0
Sh2d2a	812	1550	1124	721	572	447
Prcc	2124	2245	1948	3058	2359	1589
Hdgf	17056	15826	14658	25134	17533	12917
Mrpl24	3975	3047	3214	4557	5029	3537
Mettl25b	441	436	462	504	328	347
Isg20l2	2419	1731	1893	3752	2160	1655
Crabp2	0	0	0	1	1	1
Gm32518	0	0	0	0	0	0
Nes	2	4	2	0	0	0
Bcan	0	0	0	1	0	0
Hapln2	0	0	0	0	0	0
Gm19439	1	0	0	0	0	0
Gpatch4	1353	1673	1081	2042	1404	1053
Naxe	2515	1657	1836	2631	2945	1787
Ttc24	0	0	0	0	0	0
Iqgap3	931	565	767	1548	426	796
Mef2d	2953	2867	3100	2604	1127	1704
1700113A16Rik	54	56	48	65	75	33
AI849053	0	0	0	0	0	0
AW047730	1	1	1	0	0	0
Gm3764	0	0	0	2	1	0
Mir3093	0	0	0	0	0	0
Mir9-1	0	0	0	0	0	0
Mir9b-1	0	0	0	0	0	0
Rhbg	2	4	7	4	1	1
Tsacc	82	68	45	100	111	56
Cct3	16295	10121	11230	21760	15976	11516
Glmp	1796	2204	2076	2215	1581	1342
Tmem79	21	25	22	48	31	20
Smg5	2578	2169	2507	3515	1735	1885
Paqr6	7	1	9	4	8	5
Bglap3	0	1	0	0	0	0
Gm21956	0	0	0	0	0	0
Bglap2	0	0	0	1	0	0
Bglap	0	1	0	0	0	0
Pmf1	2519	1870	2033	4851	4371	2793
Slc25a44	1454	1144	1490	1948	677	844
Sema4a	4746	5676	6412	6303	2948	3766
Mir7011	0	0	0	0	0	0
Gm40089	1	1	1	0	0	0
Lmna	2744	1654	2253	3703	3200	2096
Gm38618	7	12	3	4	4	2
Mex3a	262	490	271	159	70	97
Mir1905	0	1	2	2	1	2
Rab25	3	0	2	6	6	2
Lamtor2	3300	2738	2812	3809	5047	2725
Ubqln4	2261	2528	2107	3146	1437	1312
Ssr2	5972	4732	5165	10439	8506	6133
Arhgef2	5851	6774	6608	4837	2143	2847
Gm40090	0	0	0	0	0	0
Gm20652	1	1	4	2	0	2
Rxfp4	0	0	0	0	0	0
Khdc4	1761	1412	1727	2515	1004	1597
Gm25820	3	2	2	3	3	2
Rit1	2202	1342	1805	2273	2717	1676
Gm10253	0	0	0	0	1	1
Syt11	494	738	503	809	700	481
5830417I10Rik	977	892	965	815	341	534
1500004A13Rik	33	24	19	50	45	32
Gon4l	1588	1437	1559	1402	519	855
Gm23054	1	3	2	2	1	0
Gm40091	1	1	1	0	0	1
Gm53242	0	0	0	0	0	0
Msto1	824	866	749	1586	886	668
Dap3	4398	3106	3301	6240	5278	3458
Ash1l	1568	989	1375	780	274	582
Gm26465	0	0	0	0	0	0
Gm24403	0	0	0	0	0	0
Rusc1	662	826	768	1137	721	486
Fdps	2000	1842	1825	4464	2939	2691
Gm22935	2	1	2	3	0	3
Pklr	3909	1965	2677	6186	2874	2393
Hcn3	29	29	22	17	7	9
Gm45927	3	1	2	1	0	0
Clk2	252	310	228	292	205	194
Scamp3	154	124	111	175	77	83
Gm16069	24	48	44	27	15	24
Entrep3	844	1404	953	838	709	461
Gm23269	0	0	0	0	0	0
Gba1	2155	2177	2538	3432	1816	1586
Mtx1	1207	1141	1105	2130	1659	993
Thbs3	21	16	29	17	4	7
Gm57704	0	1	1	0	0	0
Mir92b	0	0	0	0	0	0
Muc1	24	49	43	24	9	13
Trim46	66	107	69	101	37	46
Krtcap2	1969	2134	1817	3115	2641	2022
Dpm3	1027	1011	968	1179	1900	895
Slc50a1	637	902	792	899	975	541
Efna1	9	8	7	7	1	1
Gm33845	0	0	0	0	0	0
Gm34014	0	0	0	0	0	0
Efna3	1	1	0	0	1	0
Gm15998	0	0	0	0	0	0
Gm34118	0	0	0	0	0	0
Efna4	10	17	10	10	11	9
Adam15	1877	1573	2341	2356	1217	1303
Dcst1	1	1	0	0	0	0
Dcst2	6	3	2	4	4	5
Zbtb7b	3236	2606	3488	3774	1775	2426
Gm15417	125	68	89	106	202	79
Lenep	44	62	55	59	50	55
Flad1	922	893	865	1281	704	637
Cks1b	3837	2092	2538	6536	7136	4777
Shc1	5952	3485	4797	8320	4589	4424
Pygo2	1911	2343	2038	2404	1221	1350
Pbxip1	4637	5043	4877	3870	3334	2450
Pmvk	894	560	743	1468	1378	819
Kcnn3	0	0	1	5	1	3
Adar	3730	3110	3883	4269	1440	2149
Chrnb2	46	57	42	38	18	26
4632404H12Rik	95	86	99	103	29	60
Ube2q1	4080	3217	3773	5360	3716	2996
She	13	31	21	13	25	7
Il6ra	3929	2176	4041	2053	428	1179
Atp8b2	1902	1968	1952	909	468	563
Gm24046	3	0	0	0	4	1
Hax1	2638	1399	1820	3632	3285	2204
Gm19710	3	4	7	5	5	1
Ubap2l	6151	4903	5878	6965	2348	3865
Gm24608	0	1	2	2	1	0
Mir7669	0	1	0	1	0	0
4933434E20Rik	2524	1668	1910	2692	2266	1582
Cfap141	145	141	139	162	134	127
Mir190b	0	0	0	0	0	0
Tpm3	27143	18473	23709	34886	27274	25322
Nup210l	45	21	27	43	19	49
Gm34865	27	32	33	35	70	36
Gm23723	0	0	0	0	0	0
Gm24185	0	0	0	0	0	0
Rps27	6201	5402	5623	6317	7974	5417
Rab13	120	83	98	134	106	93
Jtb	1997	1335	1472	2336	2291	1463
Creb3l4	8	6	15	9	5	5
Slc39a1	2417	1887	2491	2598	1261	1171
Crtc2	1299	1346	1395	1665	940	1208
Dennd4b	2478	2197	2917	1680	899	1268
Mir7012	0	0	0	0	0	0
Gatad2b	2148	1990	2286	1974	1055	1307
Slc27a3	98	135	90	95	53	92
Ints3	2618	2256	2334	2964	1026	1416
Npr1	8	13	6	10	2	3
n-TMcat11	0	0	0	0	0	0
Ilf2	5872	3641	4035	8636	6677	5250
Snapin	1372	976	1132	1589	1284	899
Chtop	8968	5312	6670	10667	8554	6239
S100a1	1116	764	962	1513	1462	984
S100a13	1905	1631	1704	2383	4092	2043
S100a14	2	1	3	4	2	2
S100a16	4	6	5	1	1	3
Gm24593	0	0	0	0	0	0
S100a3	8	5	11	23	47	21
Gm54169	0	0	0	0	0	0
S100a2	1	2	1	10	19	11
S100a4	8695	5682	7589	5336	8933	5861
S100a5	2	1	2	0	4	3
Gm57853	2	2	2	4	2	4
S100a6	27	13	20	47	60	38
S100a7a	0	0	0	0	0	0
S100a8	20913	12469	18131	24616	24286	24457
S100a9	35521	23457	31291	41366	44944	40392
Pglyrp4	7	6	6	9	2	11
LOC118568639	0	0	0	0	0	0
4930529C04Rik	2	1	0	2	0	0
S100a7l2	0	0	0	0	0	0
Gm36323	0	0	0	0	0	0
Gm35185	0	0	0	0	0	0
Pglyrp3	0	0	0	0	0	0
Loricrin	1	1	1	1	1	0
Prr9	0	0	0	0	0	0
Lelp1	0	0	0	0	0	0
Gm35439	0	0	0	0	0	0
Sprr2a1	0	0	0	0	0	0
Sprr2a2	0	0	0	0	0	0
Sprr2a3	0	0	0	0	0	0
Sprr2b	0	0	0	0	0	0
Sprr2d	0	0	0	0	0	0
Sprr2e	0	0	0	0	0	0
Sprr2f	0	0	0	0	0	0
Sprr2g	0	0	0	0	0	0
Sprr2h	0	0	0	0	0	0
Sprr2i	0	0	0	0	0	0
Sprr2j-ps	0	0	0	0	0	0
Sprr2k	0	0	0	0	0	0
Sprr1b	0	0	0	0	0	0
Sprr3	0	0	0	0	0	0
Sprr1a	0	0	0	0	0	0
Sprr4	0	0	0	0	0	0
Ivl	6	3	2	26	38	22
Gm35639	0	0	0	1	1	0
Smcp	0	0	0	0	0	0
Lce6a	0	0	0	0	0	0
Gm35699	0	0	0	0	0	0
Lce1a1	0	0	0	0	0	0
Lce1b	0	0	0	0	0	0
Lce1a2	0	0	0	0	0	0
Lce1c	0	0	0	0	0	0
Lce1d	0	0	0	0	0	0
Lce1e	0	0	0	0	0	0
Lce1f	0	0	0	0	0	0
Lce1g	0	0	0	0	0	0
Lce1h	0	0	0	0	0	0
Lce1i	0	0	0	0	0	0
Lce1j	0	0	0	0	0	0
Lce1k	0	0	0	0	0	0
Kprp	0	0	0	0	0	0
Lce1l	0	0	0	0	0	0
Kplce	0	0	0	0	0	0
Lce3a	0	0	0	0	0	0
Lce3b	0	0	0	0	0	0
Lce3c	0	0	0	0	0	0
Lce3d	0	0	0	0	0	0
Gm22577	0	0	0	0	0	0
Lce3e	0	0	0	0	0	0
Lce3f	0	0	0	0	0	0
Crct1	0	0	0	0	0	0
Lce1m	0	0	0	0	0	0
Tdpoz8	1	0	0	0	0	0
Gm35785	0	0	0	0	0	0
Crnn	0	0	0	0	0	0
Flg2	0	0	0	0	0	0
Flg	0	0	0	0	0	0
Hrnr	0	0	0	0	0	0
Rptn	0	0	0	0	0	0
Tchh	44	21	19	51	7	44
Tchhl1	0	0	0	0	0	0
S100a11	6666	5889	6927	10862	12717	8946
S100a10	11304	9287	9186	9219	13294	8008
Gm40093	0	0	0	0	0	0
Tdpoz2	0	0	0	0	0	0
Tdpoz1	0	0	0	0	0	0
Tdpoz4	0	0	0	0	1	0
Tdpoz3	0	0	0	0	0	0
Tdpoz5	0	0	0	0	0	0
Tdpoz9	0	0	0	0	0	0
Tdpoz7	0	0	0	0	0	0
Spopfm2	0	0	0	0	0	0
Gm36010	0	0	0	0	0	0
Them4	93	65	72	106	89	66
Them5	0	0	0	0	0	0
C2cd4d	0	0	0	0	0	0
Gm38411	14	20	8	4	3	3
Rorc	329	682	198	231	91	140
Lingo4	43	123	55	11	4	2
1700040D17Rik	12	8	5	3	5	3
Tdrkh	359	341	303	189	179	104
Oaz3	0	0	0	0	0	0
Mrpl9	3404	2515	2558	4230	3539	2259
Riiad1	3	6	3	0	1	11
Celf3	3	3	1	3	1	2
Snx27	2804	1770	2436	3186	990	1573
Tuft1	218	201	188	235	174	123
BC021767	76	13	64	89	93	70
Selenbp2	5	2	1	6	9	4
Gm52626	3	4	0	6	12	4
Cgn	10	1	5	2	6	2
Gm40094	0	0	0	0	0	0
Pogz	1032	1041	1067	889	424	529
Psmb4	11207	7452	9052	15921	16227	10811
Gm36237	0	0	0	0	0	0
Selenbp1	2667	2008	2318	3741	2470	1835
Rfx5	670	700	740	727	248	337
B230398E01Rik	17	7	19	17	11	18
Pi4kb	1806	1403	1579	2436	1178	1080
Zfp687	1112	1074	1216	1227	593	806
Mir7013	3	2	0	1	0	3
4930481B07Rik	41	26	29	36	36	25
Psmd4	6963	4797	5360	9782	9138	5787
Pip5k1a	1717	1245	1421	2319	1302	1083
Gm24920	10	17	7	2	5	2
Gm40095	21	19	25	15	31	11
Gm22301	0	0	0	0	0	0
Vps72	2622	1864	1871	2918	2322	1799
Tmod4	22	17	10	17	9	22
Scnm1	1216	799	923	1437	1418	1087
Lysmd1	159	138	126	186	186	82
Mir8099-1	12	11	12	9	5	4
Tnfaip8l2	3714	2468	3124	3487	3247	2059
Sema6c	13	33	23	10	3	4
Gabpb2	5281	2803	4133	5731	1943	3278
Gm16740	50	67	58	56	69	38
Mllt11	251	193	199	265	210	135
Cdc42se1	10483	8615	9660	13477	12014	8478
Gm128	19	19	14	17	17	14
Bnipl	1	1	0	5	3	2
Prune1	1223	1039	1071	1578	984	766
Mindy1	1666	1356	1497	2746	1464	1336
Anxa9	333	329	399	452	226	251
Gm53243	23	4	23	25	5	16
Cers2	6729	4819	5950	9864	4664	4444
Setdb1	2475	1672	2134	2775	957	1344
Gm37500	5	4	5	6	2	2
Ctxnd2	0	0	0	0	0	0
Gm4349	5	2	5	3	7	5
Arnt	2311	1443	2075	2778	1202	1300
Ctsk	6	4	6	4	5	5
Gm40096	3	0	2	0	0	0
Ctss	25061	13300	26738	12009	8145	7910
Hormad1	1	0	0	0	0	0
Gm40097	0	0	0	0	1	0
Golph3l	1839	1249	1581	2310	1007	1169
Ensa	5286	2870	4049	5760	3991	3486
Mcl1	24156	13831	23395	26505	19909	16040
Adamtsl4	74	73	131	193	50	84
Ecm1	370	589	512	327	146	143
Mir7014	0	0	0	1	1	0
Tars2	1930	1689	1618	3175	2007	1368
Rprd2	1702	1590	1725	1713	909	1058
Gm26361	1	7	2	1	6	2
Gm29948	18	13	19	20	14	10
Prpf3	2123	1538	1541	3415	1746	2003
Mrps21	2399	1555	1901	2402	3513	2077
C920021L13Rik	21	10	18	22	31	12
Ciart	38	26	29	32	17	18
BC028528	1836	645	1361	776	817	684
Aph1a	2434	2400	2718	3443	1803	1637
Car14	0	3	0	0	0	0
Gm46815	3	0	1	9	19	7
Anp32e	10390	8003	8447	15932	11821	9190
Gm9054	9	5	5	5	5	2
Plekho1	3238	2081	2876	1556	1575	1170
Vps45	1022	642	897	1274	1068	753
Gm54210	1	0	1	0	0	0
Gm30044	0	0	0	1	0	0
Otud7b	1126	984	1069	1219	615	662
Mtmr11	4	2	4	3	3	5
Sf3b4	1892	1961	1785	3121	1464	1379
Gm22027	2	2	6	2	3	2
Sv2a	5	4	18	13	9	15
Bola1	839	600	644	1220	1515	700
H2ac21	6	3	2	4	6	4
H2ac20	22	27	26	44	120	43
H2bc21	375	255	259	312	234	171
H3c15	9	8	9	5	12	3
H2ac19	8	13	11	8	12	3
H2ac18	8	18	12	6	11	4
H3c14	5	10	10	2	5	3
Gm20627	7	17	19	17	8	3
H4c14	19	19	21	28	61	25
H3c13	5	16	8	11	33	13
H2bc18	28	27	28	34	101	41
Fcgr1	2854	1273	3245	2312	715	1612
